Video_Name,Frame_Number,MSE,SSIM,Classification
v1.mp4 vs vs1.mp4,1,63.93,0.93,Real
v1.mp4 vs vs1.mp4,2,64.23,0.93,Real
v1.mp4 vs vs1.mp4,3,76.22,0.89,Real
v1.mp4 vs vs1.mp4,4,74.95,0.90,Real
v1.mp4 vs vs1.mp4,5,75.91,0.90,Real
v1.mp4 vs vs1.mp4,6,99.47,0.85,Fake
v1.mp4 vs vs1.mp4,7,99.35,0.85,Real
v1.mp4 vs vs1.mp4,8,101.07,0.85,Real
v1.mp4 vs vs1.mp4,9,100.79,0.85,Real
v1.mp4 vs vs1.mp4,10,102.57,0.85,Fake
v1.mp4 vs vs1.mp4,11,105.29,0.85,Fake
v1.mp4 vs vs1.mp4,12,106.58,0.85,Fake
v1.mp4 vs vs1.mp4,13,111.87,0.83,Fake
v1.mp4 vs vs1.mp4,14,113.67,0.83,Fake
v1.mp4 vs vs1.mp4,15,113.38,0.84,Fake
v1.mp4 vs vs1.mp4,16,113.28,0.84,Fake
v1.mp4 vs vs1.mp4,17,109.60,0.84,Fake
v1.mp4 vs vs1.mp4,18,107.21,0.84,Fake
v1.mp4 vs vs1.mp4,19,104.60,0.85,Fake
v1.mp4 vs vs1.mp4,20,103.06,0.85,Real
v1.mp4 vs vs1.mp4,21,101.83,0.86,Real
v1.mp4 vs vs1.mp4,22,97.15,0.87,Real
v1.mp4 vs vs1.mp4,23,93.77,0.87,Real
v1.mp4 vs vs1.mp4,24,92.82,0.88,Real
v1.mp4 vs vs1.mp4,25,93.19,0.87,Real
v1.mp4 vs vs1.mp4,26,85.31,0.88,Real
v1.mp4 vs vs1.mp4,27,86.86,0.88,Real
v1.mp4 vs vs1.mp4,28,87.65,0.88,Real
v1.mp4 vs vs1.mp4,29,88.01,0.88,Real
v1.mp4 vs vs1.mp4,30,90.88,0.88,Real
v1.mp4 vs vs1.mp4,31,90.51,0.89,Real
v1.mp4 vs vs1.mp4,32,89.90,0.89,Real
v1.mp4 vs vs1.mp4,33,89.80,0.89,Real
v1.mp4 vs vs1.mp4,34,89.79,0.89,Real
v1.mp4 vs vs1.mp4,35,89.42,0.89,Real
v1.mp4 vs vs1.mp4,36,90.02,0.89,Real
v1.mp4 vs vs1.mp4,37,95.90,0.88,Real
v1.mp4 vs vs1.mp4,38,96.44,0.88,Real
v1.mp4 vs vs1.mp4,39,98.57,0.87,Real
v1.mp4 vs vs1.mp4,40,107.09,0.87,Real
v1.mp4 vs vs1.mp4,41,111.49,0.86,Real
v1.mp4 vs vs1.mp4,42,113.05,0.86,Real
v1.mp4 vs vs1.mp4,43,112.94,0.85,Real
v1.mp4 vs vs1.mp4,44,116.78,0.85,Fake
v1.mp4 vs vs1.mp4,45,118.33,0.85,Fake
v1.mp4 vs vs1.mp4,46,120.10,0.84,Fake
v1.mp4 vs vs1.mp4,47,122.50,0.84,Fake
v1.mp4 vs vs1.mp4,48,124.91,0.84,Fake
v1.mp4 vs vs1.mp4,49,132.56,0.82,Fake
v1.mp4 vs vs1.mp4,50,129.33,0.83,Fake
v1.mp4 vs vs1.mp4,51,129.08,0.83,Fake
v1.mp4 vs vs1.mp4,52,125.17,0.83,Fake
v1.mp4 vs vs1.mp4,53,121.24,0.84,Fake
v1.mp4 vs vs1.mp4,54,117.53,0.84,Fake
v1.mp4 vs vs1.mp4,55,111.57,0.85,Real
v1.mp4 vs vs1.mp4,56,106.76,0.86,Real
v1.mp4 vs vs1.mp4,57,102.21,0.87,Real
v1.mp4 vs vs1.mp4,58,98.15,0.87,Real
v1.mp4 vs vs1.mp4,59,97.42,0.87,Real
v1.mp4 vs vs1.mp4,60,97.37,0.88,Real
v1.mp4 vs vs1.mp4,61,103.48,0.87,Real
v1.mp4 vs vs1.mp4,62,99.96,0.88,Real
v1.mp4 vs vs1.mp4,63,97.92,0.87,Real
v1.mp4 vs vs1.mp4,64,102.40,0.87,Real
v1.mp4 vs vs1.mp4,65,102.85,0.87,Real
v1.mp4 vs vs1.mp4,66,103.11,0.87,Real
v1.mp4 vs vs1.mp4,67,106.56,0.87,Real
v1.mp4 vs vs1.mp4,68,108.76,0.87,Real
v1.mp4 vs vs1.mp4,69,107.36,0.87,Real
v1.mp4 vs vs1.mp4,70,106.23,0.87,Real
v1.mp4 vs vs1.mp4,71,106.02,0.87,Real
v1.mp4 vs vs1.mp4,72,104.89,0.88,Real
v1.mp4 vs vs1.mp4,73,107.73,0.87,Real
v1.mp4 vs vs1.mp4,74,102.59,0.88,Real
v1.mp4 vs vs1.mp4,75,101.58,0.89,Real
v1.mp4 vs vs1.mp4,76,99.75,0.89,Real
v1.mp4 vs vs1.mp4,77,97.26,0.90,Real
v1.mp4 vs vs1.mp4,78,96.94,0.90,Real
v1.mp4 vs vs1.mp4,79,100.26,0.89,Real
v1.mp4 vs vs1.mp4,80,104.38,0.89,Real
v1.mp4 vs vs1.mp4,81,106.13,0.88,Real
v1.mp4 vs vs1.mp4,82,4111.90,0.52,Fake
v1.mp4 vs vs1.mp4,83,534.17,0.68,Fake
v1.mp4 vs vs1.mp4,84,533.01,0.68,Fake
v1.mp4 vs vs1.mp4,85,534.04,0.69,Fake
v1.mp4 vs vs1.mp4,86,538.02,0.69,Fake
v1.mp4 vs vs1.mp4,87,544.66,0.69,Fake
v1.mp4 vs vs1.mp4,88,549.61,0.70,Fake
v1.mp4 vs vs1.mp4,89,562.90,0.70,Fake
v1.mp4 vs vs1.mp4,90,594.33,0.69,Fake
v1.mp4 vs vs1.mp4,91,606.55,0.69,Fake
v1.mp4 vs vs1.mp4,92,612.35,0.69,Fake
v1.mp4 vs vs1.mp4,93,629.75,0.69,Fake
v1.mp4 vs vs1.mp4,94,634.62,0.69,Fake
v1.mp4 vs vs1.mp4,95,656.75,0.68,Fake
v1.mp4 vs vs1.mp4,96,658.32,0.68,Fake
v1.mp4 vs vs1.mp4,97,677.83,0.68,Fake
v1.mp4 vs vs1.mp4,98,674.38,0.68,Fake
v1.mp4 vs vs1.mp4,99,677.97,0.69,Fake
v1.mp4 vs vs1.mp4,100,678.88,0.69,Fake
v1.mp4 vs vs1.mp4,101,819.24,0.66,Fake
v10.mp4 vs vs10.mp4,1,11.04,0.97,Real
v10.mp4 vs vs10.mp4,2,11.78,0.97,Real
v10.mp4 vs vs10.mp4,3,22.26,0.96,Real
